external_id,name,description,address,suburb,state,postcode,country,lat,lng,schedule,phone,email,website,source_url
marketsandfairs:capital-region-farmers-market,CAPITAL REGION FARMERS MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",ACT 2600,,ACT,2600,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/CAPITAL-REGION-FARMERS-MARKET
marketsandfairs:hartley-hall-markets,HARTLEY HALL MARKETS,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",Hall ACT 2618,Hall,ACT,2618,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/HARTLEY-HALL-MARKETS
marketsandfairs:gungahlin-community-market-2,GUNGAHLIN COMMUNITY MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",CASEY ACT 2913,CASEY,ACT,2913,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/GUNGAHLIN-COMMUNITY-MARKET-2
marketsandfairs:canberra-city-walk-markets,Canberra City Walk Markets,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",ACT 2612,,ACT,2612,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/Canberra-City-Walk-Markets
marketsandfairs:anu-market-days,ANU MARKET DAYS,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",ACT 2600,,ACT,2600,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/ANU-MARKET-DAYS
marketsandfairs:canberra-fashion-market,Canberra Fashion Market,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",Mitchell ACT 2911,Mitchell,ACT,2911,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/Canberra-Fashion-Market
marketsandfairs:southside-farmers-market,SOUTHSIDE FARMERS MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",ACT 2606,,ACT,2606,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/SOUTHSIDE-FARMERS-MARKET
marketsandfairs:summer-sunset-markets,SUMMER SUNSET MARKETS,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",ACT 2620,,ACT,2620,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/SUMMER-SUNSET-MARKETS
marketsandfairs:boulevard-market,BOULEVARD MARKET,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",ACT 2600,,ACT,2600,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/BOULEVARD-MARKET
marketsandfairs:canberra-night-markets,CANBERRA NIGHT MARKETS,"Australian Markets & Fairs Magazine carries a wealth of information, ideas and articles on all aspects of the market industry in a format available nowhere else, and is uniquely geared to carry display and classified advertising that reaches stallholders and the market-going public.",ACT 2600,,ACT,2600,Australia,,,Mon-Fri 9am,+6146572597,,https://www.eway.com.au/secure-site-seal?i=13&s=3&pid=b62ce594-da7c-4630-8fa0-2c837ba72b1c&theme=0,https://www.marketsandfairs.com.au/Market/CANBERRA-NIGHT-MARKETS
